i,latency_ms,action_left,action_right
615,0.049148,19.369602,-55.739624
616,0.052752,-62.09963,-59.13555
617,0.051516,-53.799503,-83.182755
618,0.052456,-22.81468,-32.114227
619,0.052394,-65.61048,-103.64247
620,0.052066,-22.620338,-58.66482
621,0.050513,-64.18681,-31.748693
622,0.058341,-62.052055,-48.310726
623,0.050601,-55.265156,-72.418686
624,0.050845,-12.643545,-64.12861
625,0.051864,-76.810425,-100.077675
626,0.050001,-8.828522,-35.02462
627,0.051625,-53.29215,-67.17744
628,0.05097,-71.1463,-114.56284
629,0.051314,-39.223164,-77.79464
630,0.048958,-36.89617,-96.75117
631,0.049167,-36.083744,-34.614723
632,0.0486,24.735939,-55.281395
633,0.0498,-21.204323,-87.186005
634,0.051453,-84.85543,-110.59503
635,0.050417,-77.85384,-75.63748
636,0.04982,-50.022335,-44.40438
637,0.050475,-70.00493,-103.86984
638,0.051264,-35.828606,-7.5097466
639,0.051183,-47.310654,-54.537678
640,0.052569,-80.43577,-78.81611
641,0.05198,-63.87162,-26.561417
642,0.052654,-73.63817,-60.12592
643,0.048164,-14.383804,2.6942234
644,0.047672,0.10167905,6.7584434
645,0.051767,-41.729076,-99.24044
646,0.049028,-11.652417,-49.406097
647,0.05057,19.578346,-78.65563
648,0.051517,-74.88581,-52.638775
649,0.048815,-39.972527,-18.243387
650,0.051299,-62.7767,-93.627464
651,0.051381,-73.22998,-24.880922
652,0.048794,-34.13744,-0.08933216
653,0.05082,-68.303825,-55.585938
654,0.051643,-69.55481,-58.626728
655,0.047447,-17.396826,-36.03688
656,0.048231,-11.923764,-49.13963
657,0.056758,-68.9622,-64.20408
658,0.050927,6.9266467,27.487911
659,0.051128,-64.72023,-107.78759
660,0.048446,32.588425,-43.932175
661,0.051656,-52.525814,-104.58489
662,0.050759,-54.428,-18.0597
663,0.051269,-78.73998,-90.74696
664,0.053689,-73.87704,-78.335625
665,0.049195,-4.674679,-24.597012
666,0.052248,-82.52535,-64.57048
667,0.049087,10.442226,-13.137485
668,0.050936,-74.75199,-70.10973
669,0.049505,24.502775,-22.17764
670,0.048208,3.244595,8.821695
671,0.053644,-29.849493,-92.75949
672,0.050098,-29.755253,-62.20415
673,0.051163,-8.37788,-66.08104
674,0.048986,-20.736282,-14.049752
675,0.056606,-60.70679,-108.95592
676,0.049119,-3.546878,-31.6821
677,0.050764,1.2500193,-66.48173
678,0.049726,6.3982615,-55.59333
679,0.051314,-49.56659,-40.64015
680,0.052515,-71.53143,-61.567543
681,0.051653,-60.094624,-73.44062
682,0.049924,-62.75971,-37.912537
683,0.052395,-84.808495,-91.63711
684,0.052225,-59.64953,-34.830914
685,0.050143,-68.14242,-31.612988
686,0.048113,-39.223827,-19.996044
687,0.051649,-79.899826,-61.902386
688,0.048196,11.630019,-69.13129
689,0.049932,-73.604904,-92.625145
690,0.049586,32.780155,-29.953217
691,0.0502,-48.36832,-55.897087
692,0.058618,-57.156063,-112.37643
693,0.051303,-41.527054,-67.388824
694,0.051384,-32.290215,-84.25672
695,0.05658,-37.53031,1.038964
696,0.051431,-61.428356,-53.384014
697,0.052119,-44.12448,-82.98918
698,0.048957,-59.248074,-113.252174
699,0.049734,-87.87901,-61.31311
700,0.047385,-43.286392,-33.33984
701,0.048795,-69.10734,-101.10463
702,0.049226,-30.605944,8.15427
703,0.051814,-63.33488,-56.329166
704,0.05102,-77.82898,-79.375084
705,0.051641,-79.01159,-33.566994
706,0.05135,-49.279533,-80.06704
707,0.050084,17.684242,-68.352486
708,0.054411,-27.379944,-88.301056
709,0.051778,-46.19157,-95.515114
710,0.054465,-11.874892,-42.75371
711,0.051406,-55.296387,-60.581444
712,0.050875,-71.42495,-46.99201
